booking_id,event_type,event_ts
BK001,created,2024-01-01 10:00:00
BK001,confirmed,2024-01-01 12:05:00
BK002,created,2024-01-01 11:00:00
BK002,cancelled,2024-01-01 15:10:00
BK003,created,2024-01-01 14:00:00
BK004,created,2024-01-02 09:00:00
BK004,confirmed,2024-01-02 10:25:00
BK005,created,2024-01-02 13:00:00
BK006,created,2024-01-03 08:00:00
BK006,confirmed,2024-01-03 09:20:00
BK006,cancelled,2024-01-03 16:50:00
BK007,created,2024-01-03 12:00:00
BK008,created,2024-01-04 09:00:00
BK008,confirmed,2024-01-04 09:30:00
BK008,cancelled,2024-01-04 20:15:00
BK009,created,2024-01-04 11:00:00
BK010,created,2024-01-04 14:00:00
BK010,confirmed,2024-01-04 16:45:00
BK011,created,2024-01-05 10:00:00
BK011,confirmed,2024-01-05 10:15:00
BK011,cancelled,2024-01-05 10:30:00
BK011,confirmed,2024-01-05 10:46:00
BK012,created,2024-01-07 10:00:00
BK013,created,2024-01-06 09:00:00
BK013,confirmed,2024-01-06 09:05:00
BK013,confirmed,2024-01-06 09:07:00
BK013,cancelled,2024-01-06 09:22:00
BK014,created,2024-01-06 12:00:00
BK015,created,2024-01-06 15:00:00
BK015,confirmed,2024-01-06 15:45:00
BK017,created,2024-01-07 09:00:00
BK017,invalid_event,2024-01-07 09:30:00
BK018,created,2024-01-07 11:00:00
BK019,created,2024-01-07 13:00:00
BK020,created,2024-01-07 15:00:00
BK021,created,2024-01-08 09:00:00
BK021,confirmed,2024-01-08 09:30:00
,created,2024-01-08 10:00:00
BK022,,2024-01-08 11:00:00
BK023,created,
