booking_id,user_id,hotel_id,status,price,created_at,updated_at
BK001,U001,H001,created,150.00,2024-01-01 10:00:00,2024-01-01 10:00:00
BK001,U001,H001,confirmed,150.00,2024-01-01 10:00:00,2024-01-01 12:00:00
BK002,U002,H002,created,200.50,2024-01-01 11:00:00,2024-01-01 11:00:00
BK002,U002,H002,cancelled,200.50,2024-01-01 11:00:00,2024-01-01 15:00:00
BK003,U003,H001,created,175.25,2024-01-01 14:00:00,2024-01-01 14:00:00
BK004,U004,H003,created,300.00,2024-01-02 09:00:00,2024-01-02 09:00:00
BK004,U004,H003,confirmed,300.00,2024-01-02 09:00:00,2024-01-02 10:30:00
BK005,U005,H002,created,225.75,2024-01-02 13:00:00,2024-01-02 13:00:00
BK006,U006,H001,created,160.00,2024-01-03 08:00:00,2024-01-03 08:00:00
BK006,U006,H001,confirmed,160.00,2024-01-03 08:00:00,2024-01-03 09:15:00
BK006,U006,H001,cancelled,160.00,2024-01-03 08:00:00,2024-01-03 16:45:00
BK007,U007,H003,created,280.00,2024-01-03 12:00:00,2024-01-03 12:00:00
BK008,U008,H002,created,1500.75,2024-01-04 09:00:00,2024-01-04 09:00:00
BK008,U008,H002,confirmed,1500.75,2024-01-04 09:00:00,2024-01-04 09:30:00
BK008,U008,H002,cancelled,1500.75,2024-01-04 09:00:00,2024-01-04 18:45:00
BK009,U009,H001,created,-50.00,2024-01-04 11:00:00,2024-01-04 11:00:00
BK010,U010,H003,created,75000.00,2024-01-04 14:00:00,2024-01-04 14:00:00
BK011,U011,H001,created,250.00,2024-01-05 10:00:00,2024-01-05 10:00:00
BK011,U011,H001,confirmed,250.00,2024-01-05 10:00:00,2024-01-05 10:15:00
BK011,U011,H001,cancelled,250.00,2024-01-05 10:00:00,2024-01-05 10:30:00
BK011,U011,H001,confirmed,250.00,2024-01-05 10:00:00,2024-01-05 10:45:00
BK012,U012,H002,created,320.00,2023-06-15 08:00:00,2023-06-15 08:00:00
BK013,U013,H003,created,180.00,2024-01-06 09:00:00,2024-01-06 09:00:00
BK013,U013,H003,confirmed,180.00,2024-01-06 09:00:00,2024-01-06 09:05:00
BK013,U013,H003,created,180.00,2024-01-06 09:00:00,2024-01-06 09:10:00
BK013,U013,H003,confirmed,180.00,2024-01-06 09:00:00,2024-01-06 09:15:00
BK013,U013,H003,cancelled,180.00,2024-01-06 09:00:00,2024-01-06 09:20:00
BK013,U013,H003,created,180.00,2024-01-06 09:00:00,2024-01-06 09:25:00
BK014,,H001,created,200.00,2024-01-06 12:00:00,2024-01-06 12:00:00
BK015,U015,,created,150.00,2024-01-06 15:00:00,2024-01-06 15:00:00
,U016,H002,created,300.00,2024-01-06 18:00:00,2024-01-06 18:00:00
BK017,U017,H003,invalid_status,400.00,2024-01-07 09:00:00,2024-01-07 09:00:00
BK018,U018,H001,,250.00,2024-01-07 11:00:00,2024-01-07 11:00:00
BK019,U019,H002,created,,2024-01-07 13:00:00,2024-01-07 13:00:00
BK020,U020,H003,created,500.00,2024-01-07 15:00:00,2024-01-07 14:00:00
