user_id,total_bookings,confirmed_bookings,cancelled_bookings,total_customer_revenue,avg_booking_value,customer_lifespan_days,bookings_per_month,avg_decision_time_hours,avg_booking_modifications,unique_hotels_booked,recency_segment,frequency_segment,monetary_segment,decision_behavior,decision_speed,hotel_loyalty,churn_risk,growth_opportunity,estimated_annual_clv,avg_data_quality,risky_bookings,first_booking_date,last_booking_date,customer_tier,recommended_action,analysis_date
U013,1,0,1,0.0,180.0,0,0.0,0.0,6.0,1,INACTIVE,RARE,MINIMAL_VALUE,HESITANT,INSTANT,LOYAL,HIGH_CANCELLATION_RISK,MAINTAIN,0.0,0.600000,1,2024-01-06T09:00:00.000+11:00,2024-01-06T09:00:00.000+11:00,STANDARD_CUSTOMER,NURTURE_CAMPAIGN,2026-02-22T17:53:06.132+11:00
U006,1,0,1,0.0,160.0,0,0.0,8.0,3.0,1,INACTIVE,RARE,MINIMAL_VALUE,HESITANT,QUICK,LOYAL,HIGH_CANCELLATION_RISK,MAINTAIN,0.0,0.950000,0,2024-01-03T08:00:00.000+11:00,2024-01-03T08:00:00.000+11:00,STANDARD_CUSTOMER,NURTURE_CAMPAIGN,2026-02-22T17:53:06.132+11:00
U002,1,0,1,0.0,200.5,0,0.0,4.0,2.0,1,INACTIVE,RARE,MINIMAL_VALUE,HESITANT,QUICK,LOYAL,HIGH_CANCELLATION_RISK,MAINTAIN,0.0,0.900000,0,2024-01-01T11:00:00.000+11:00,2024-01-01T11:00:00.000+11:00,STANDARD_CUSTOMER,NURTURE_CAMPAIGN,2026-02-22T17:53:06.132+11:00
U008,1,0,1,0.0,1500.75,0,0.0,11.0,3.0,1,INACTIVE,RARE,MINIMAL_VALUE,HESITANT,QUICK,LOYAL,HIGH_CANCELLATION_RISK,MAINTAIN,0.0,0.900000,1,2024-01-04T09:00:00.000+11:00,2024-01-04T09:00:00.000+11:00,STANDARD_CUSTOMER,NURTURE_CAMPAIGN,2026-02-22T17:53:06.132+11:00
U010,1,1,0,75000.0,75000.0,0,0.0,2.0,1.0,1,INACTIVE,RARE,HIGH_VALUE,DECISIVE,QUICK,LOYAL,LOW_RISK,VIP_POTENTIAL,0.0,0.900000,0,2024-01-04T14:00:00.000+11:00,2024-01-04T14:00:00.000+11:00,NEW_CUSTOMER,VIP_INVITATION,2026-02-22T17:53:06.132+11:00
U004,1,1,0,300.0,300.0,0,0.0,1.0,2.0,1,INACTIVE,RARE,LOW_VALUE,DECISIVE,INSTANT,LOYAL,LOW_RISK,MAINTAIN,0.0,0.950000,0,2024-01-02T09:00:00.000+11:00,2024-01-02T09:00:00.000+11:00,NEW_CUSTOMER,NURTURE_CAMPAIGN,2026-02-22T17:53:06.132+11:00
U011,1,1,0,250.0,250.0,0,0.0,0.0,4.0,1,INACTIVE,RARE,LOW_VALUE,DECISIVE,INSTANT,LOYAL,LOW_RISK,MAINTAIN,0.0,0.600000,0,2024-01-05T10:00:00.000+11:00,2024-01-05T10:00:00.000+11:00,NEW_CUSTOMER,NURTURE_CAMPAIGN,2026-02-22T17:53:06.132+11:00
U015,1,1,0,150.0,150.0,0,0.0,0.0,1.0,0,INACTIVE,RARE,LOW_VALUE,DECISIVE,INSTANT,SOMEWHAT_LOYAL,LOW_RISK,MAINTAIN,0.0,0.900000,0,2024-01-06T15:00:00.000+11:00,2024-01-06T15:00:00.000+11:00,NEW_CUSTOMER,NURTURE_CAMPAIGN,2026-02-22T17:53:06.132+11:00
U001,1,1,0,150.0,150.0,0,0.0,2.0,2.0,1,INACTIVE,RARE,LOW_VALUE,DECISIVE,QUICK,LOYAL,LOW_RISK,MAINTAIN,0.0,0.950000,0,2024-01-01T10:00:00.000+11:00,2024-01-01T10:00:00.000+11:00,NEW_CUSTOMER,NURTURE_CAMPAIGN,2026-02-22T17:53:06.132+11:00
U007,1,0,0,0.0,280.0,0,0.0,0.0,1.0,1,INACTIVE,RARE,MINIMAL_VALUE,HESITANT,INSTANT,LOYAL,LOW_RISK,MAINTAIN,0.0,0.950000,1,2024-01-03T12:00:00.000+11:00,2024-01-03T12:00:00.000+11:00,STANDARD_CUSTOMER,NURTURE_CAMPAIGN,2026-02-22T17:53:06.132+11:00
