booking_date,city,total_bookings,confirmed_bookings,cancelled_bookings,pending_bookings,confirmation_rate_pct,cancellation_rate_pct,pending_rate_pct,same_day_cancellation_rate_pct,instant_confirmation_rate_pct,total_revenue,revenue_per_confirmed_booking,revenue_per_total_booking,same_day_cancelled_revenue_lost,same_day_revenue_loss_pct,premium_bookings,high_value_bookings,standard_bookings,budget_bookings,premium_segment_pct,premium_revenue_contribution_pct,business_hours_booking_pct,weekend_booking_pct,immediate_decision_rate_pct,avg_booking_lifecycle_hours,avg_updates_per_booking,data_quality_score_pct,business_risk_score_pct,high_risk_bookings,avg_resolution_confidence,avg_booking_value,avg_confirmed_booking_value,median_booking_value,p90_booking_value,avg_hotel_rating,confirmation_performance,cancellation_performance,response_speed_performance,pricing_positioning,daily_alert_status,business_hours_bookings,evening_bookings,off_hours_bookings,weekend_bookings,weekday_bookings,immediate_decisions,same_day_decisions,same_week_decisions,delayed_decisions,premium_revenue,high_value_revenue,standard_revenue,budget_revenue,high_value_cancellations,high_touch_bookings,stale_pending_bookings,processed_at,model_version
2024-01-07,Shiraz,1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.00,0.0,100.00,0.00,100.00,0.0,1.0,100.00,0.00,0,0.900000,400.0,,400.0,400.0,3.0,POOR,EXCELLENT,POOR,BUDGET_POSITIONING,NORMAL,1,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,2026-02-22T17:53:05.156+11:00,ENHANCED_TRAVEL_ANALYTICS_V2
2024-01-07,Tehran,1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.00,0.0,100.00,0.00,100.00,0.0,1.0,100.00,0.00,0,0.950000,250.0,,250.0,250.0,4.0,POOR,EXCELLENT,POOR,BUDGET_POSITIONING,NORMAL,1,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,2026-02-22T17:53:05.156+11:00,ENHANCED_TRAVEL_ANALYTICS_V2
2024-01-07,Isfahan,1,0,0,1,0.00,0.00,100.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.00,0.0,100.00,0.00,100.00,0.0,1.0,100.00,100.00,0,0.950000,,,,,5.0,POOR,EXCELLENT,POOR,BUDGET_POSITIONING,OPERATIONAL_RISK_ALERT,1,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0,0,1,2026-02-22T17:53:05.156+11:00,ENHANCED_TRAVEL_ANALYTICS_V2
2024-01-06,Shiraz,1,0,1,0,0.00,100.00,0.00,100.00,0.00,0.0,0.0,0.0,180.0,0.0,0,0,0,1,0.00,0.0,100.00,0.00,100.00,0.0,6.0,0.00,100.00,1,0.600000,180.0,,180.0,180.0,3.0,POOR,POOR,POOR,BUDGET_POSITIONING,HIGH_CANCELLATION_ALERT,1,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0,1,0,2026-02-22T17:53:05.156+11:00,ENHANCED_TRAVEL_ANALYTICS_V2
2024-01-06,Tehran,1,0,0,1,0.00,0.00,100.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.00,0.0,100.00,0.00,100.00,0.0,1.0,100.00,100.00,0,0.950000,200.0,,200.0,200.0,4.0,POOR,EXCELLENT,POOR,BUDGET_POSITIONING,OPERATIONAL_RISK_ALERT,1,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0,0,1,2026-02-22T17:53:05.156+11:00,ENHANCED_TRAVEL_ANALYTICS_V2
2024-01-05,Tehran,1,1,0,0,100.00,0.00,0.00,0.00,100.00,250.0,250.0,250.0,0.0,0.0,0,0,1,0,0.00,0.0,100.00,100.00,100.00,0.0,4.0,0.00,0.00,1,0.600000,250.0,250.0,250.0,250.0,4.0,EXCELLENT,EXCELLENT,EXCELLENT,MARKET_RATE,DATA_QUALITY_ALERT,1,0,0,1,0,1,0,0,0,0.0,0.0,250.0,0.0,0,0,0,2026-02-22T17:53:05.156+11:00,ENHANCED_TRAVEL_ANALYTICS_V2
2024-01-04,Isfahan,1,0,1,0,0.00,100.00,0.00,100.00,0.00,0.0,0.0,0.0,1500.75,0.0,1,0,0,0,100.00,0.0,100.00,0.00,0.00,11.0,3.0,100.00,100.00,0,0.900000,1500.75,,1500.75,1500.75,5.0,POOR,POOR,POOR,BUDGET_POSITIONING,HIGH_CANCELLATION_ALERT,1,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,1,0,0,2026-02-22T17:53:05.156+11:00,ENHANCED_TRAVEL_ANALYTICS_V2
2024-01-04,Shiraz,1,1,0,0,100.00,0.00,0.00,0.00,0.00,75000.0,75000.0,75000.0,0.0,0.0,1,0,0,0,100.00,100.0,100.00,0.00,0.00,2.0,1.0,100.00,0.00,0,0.900000,75000.0,75000.0,75000.0,75000.0,3.0,EXCELLENT,EXCELLENT,POOR,MARKET_RATE,NORMAL,1,0,0,0,1,0,1,0,0,75000.0,0.0,0.0,0.0,0,0,0,2026-02-22T17:53:05.156+11:00,ENHANCED_TRAVEL_ANALYTICS_V2
2024-01-04,Tehran,1,0,0,1,0.00,0.00,100.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.00,0.0,100.00,0.00,100.00,0.0,1.0,100.00,100.00,0,0.950000,-50.0,,-50.0,-50.0,4.0,POOR,EXCELLENT,POOR,BUDGET_POSITIONING,OPERATIONAL_RISK_ALERT,1,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0,0,1,2026-02-22T17:53:05.156+11:00,ENHANCED_TRAVEL_ANALYTICS_V2
2024-01-03,Tehran,1,0,1,0,0.00,100.00,0.00,100.00,0.00,0.0,0.0,0.0,160.0,0.0,0,0,0,1,0.00,0.0,0.00,0.00,0.00,8.0,3.0,100.00,0.00,0,0.950000,160.0,,160.0,160.0,4.0,POOR,POOR,POOR,BUDGET_POSITIONING,HIGH_CANCELLATION_ALERT,0,0,1,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,2026-02-22T17:53:05.156+11:00,ENHANCED_TRAVEL_ANALYTICS_V2
2024-01-03,Shiraz,1,0,0,1,0.00,0.00,100.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.00,0.0,100.00,0.00,100.00,0.0,1.0,100.00,100.00,0,0.950000,280.0,,280.0,280.0,3.0,POOR,EXCELLENT,POOR,BUDGET_POSITIONING,OPERATIONAL_RISK_ALERT,1,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0,0,1,2026-02-22T17:53:05.156+11:00,ENHANCED_TRAVEL_ANALYTICS_V2
2024-01-02,Shiraz,1,1,0,0,100.00,0.00,0.00,0.00,100.00,300.0,300.0,300.0,0.0,0.0,0,0,1,0,0.00,0.0,100.00,0.00,100.00,1.0,2.0,100.00,0.00,0,0.950000,300.0,300.0,300.0,300.0,3.0,EXCELLENT,EXCELLENT,EXCELLENT,MARKET_RATE,NORMAL,1,0,0,0,1,1,0,0,0,0.0,0.0,300.0,0.0,0,0,0,2026-02-22T17:53:05.156+11:00,ENHANCED_TRAVEL_ANALYTICS_V2
2024-01-02,Isfahan,1,0,0,1,0.00,0.00,100.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.00,0.0,100.00,0.00,100.00,0.0,1.0,100.00,100.00,0,0.950000,225.75,,225.75,225.75,5.0,POOR,EXCELLENT,POOR,BUDGET_POSITIONING,OPERATIONAL_RISK_ALERT,1,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0,0,1,2026-02-22T17:53:05.156+11:00,ENHANCED_TRAVEL_ANALYTICS_V2
2024-01-01,Isfahan,1,0,1,0,0.00,100.00,0.00,100.00,0.00,0.0,0.0,0.0,200.5,0.0,0,0,1,0,0.00,0.0,100.00,0.00,0.00,4.0,2.0,100.00,0.00,0,0.900000,200.5,,200.5,200.5,5.0,POOR,POOR,POOR,BUDGET_POSITIONING,HIGH_CANCELLATION_ALERT,1,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,2026-02-22T17:53:05.156+11:00,ENHANCED_TRAVEL_ANALYTICS_V2
2024-01-01,Tehran,2,1,0,1,50.00,0.00,50.00,0.00,0.00,150.0,150.0,75.0,0.0,0.0,0,0,0,2,0.00,0.0,100.00,0.00,50.00,1.0,1.5,100.00,50.00,0,0.950000,162.625,150.0,150.0,175.25,4.0,AVERAGE,EXCELLENT,POOR,MARKET_RATE,OPERATIONAL_RISK_ALERT,2,0,0,0,2,1,1,0,0,0.0,0.0,0.0,150.0,0,0,1,2026-02-22T17:53:05.156+11:00,ENHANCED_TRAVEL_ANALYTICS_V2
2023-06-15,Isfahan,1,0,0,1,0.00,0.00,100.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.00,0.0,0.00,0.00,0.00,4946.0,1.0,100.00,100.00,0,0.900000,320.0,,320.0,320.0,5.0,POOR,EXCELLENT,POOR,BUDGET_POSITIONING,OPERATIONAL_RISK_ALERT,0,0,1,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0,0,1,2026-02-22T17:53:05.156+11:00,ENHANCED_TRAVEL_ANALYTICS_V2
