booking_id,user_id,hotel_id,status,price,created_at,updated_at,event_ts,final_state_ts,is_confirmed,is_cancelled,is_pending,revenue,same_day_cancelled_value,total_updates,total_events,booking_to_final_state_hours,booking_decision_speed,resolution_confidence,data_quality_risk,business_risk_category,invalid_transition_from_cancelled,high_update_frequency,stale_booking,potential_duplicate_event,resolution_method,processed_at,instant_confirmation,same_day_cancellation
BK002,U002,H002,CANCELLED,200.5,2024-01-01T11:00:00.000+11:00,2024-01-01T15:00:00.000+11:00,2024-01-01T15:10:00.000+11:00,2024-01-01T15:10:00.000+11:00,0,1,0,0.0,200.5,2,2,4,SAME_DAY,0.90,LOW,NORMAL,0,0,0,0,EVENT_OVERRIDE,2026-02-22T17:53:04.505+11:00,0,1
BK008,U008,H002,CANCELLED,1500.75,2024-01-04T09:00:00.000+11:00,2024-01-04T18:45:00.000+11:00,2024-01-04T20:15:00.000+11:00,2024-01-04T20:15:00.000+11:00,0,1,0,0.0,1500.75,3,3,11,SAME_DAY,0.90,LOW,HIGH_VALUE_CANCELLATION,0,0,0,0,EVENT_OVERRIDE,2026-02-22T17:53:04.505+11:00,0,1
BK010,U010,H003,CONFIRMED,75000.0,2024-01-04T14:00:00.000+11:00,2024-01-04T14:00:00.000+11:00,2024-01-04T16:45:00.000+11:00,2024-01-04T16:45:00.000+11:00,1,0,0,75000.0,0.0,1,2,2,SAME_DAY,0.90,LOW,NORMAL,0,0,0,0,EVENT_OVERRIDE,2026-02-22T17:53:04.505+11:00,0,0
BK012,U012,H002,CREATED,320.0,2023-06-15T08:00:00.000+10:00,2023-06-15T08:00:00.000+10:00,2024-01-07T10:00:00.000+11:00,2024-01-07T10:00:00.000+11:00,0,0,1,0.0,0.0,1,1,4946,DELAYED,0.90,LOW,STALE_PENDING,0,0,0,0,EVENT_OVERRIDE,2026-02-22T17:53:04.505+11:00,0,0
BK015,U015,,CONFIRMED,150.0,2024-01-06T15:00:00.000+11:00,2024-01-06T15:00:00.000+11:00,2024-01-06T15:45:00.000+11:00,2024-01-06T15:45:00.000+11:00,1,0,0,150.0,0.0,1,2,0,IMMEDIATE,0.90,LOW,NORMAL,0,0,0,0,EVENT_OVERRIDE,2026-02-22T17:53:04.505+11:00,1,0
BK017,U017,H003,INVALID_EVENT,400.0,2024-01-07T09:00:00.000+11:00,2024-01-07T09:00:00.000+11:00,2024-01-07T09:30:00.000+11:00,2024-01-07T09:30:00.000+11:00,0,0,0,0.0,0.0,1,2,0,IMMEDIATE,0.90,LOW,NORMAL,0,0,0,0,EVENT_OVERRIDE,2026-02-22T17:53:04.505+11:00,0,0
BK001,U001,H001,CONFIRMED,150.0,2024-01-01T10:00:00.000+11:00,2024-01-01T12:00:00.000+11:00,2024-01-01T12:05:00.000+11:00,2024-01-01T12:05:00.000+11:00,1,0,0,150.0,0.0,2,2,2,SAME_DAY,0.95,LOW,NORMAL,0,0,0,0,EVENT_OVERRIDE,2026-02-22T17:53:04.505+11:00,0,0
BK003,U003,H001,CREATED,175.25,2024-01-01T14:00:00.000+11:00,2024-01-01T14:00:00.000+11:00,2024-01-01T14:00:00.000+11:00,2024-01-01T14:00:00.000+11:00,0,0,1,0.0,0.0,1,1,0,IMMEDIATE,0.95,LOW,STALE_PENDING,0,0,0,0,STANDARD_RESOLUTION,2026-02-22T17:53:04.505+11:00,0,0
BK004,U004,H003,CONFIRMED,300.0,2024-01-02T09:00:00.000+11:00,2024-01-02T10:30:00.000+11:00,2024-01-02T10:25:00.000+11:00,2024-01-02T10:30:00.000+11:00,1,0,0,300.0,0.0,2,2,1,IMMEDIATE,0.95,LOW,NORMAL,0,0,0,0,EVENT_OVERRIDE,2026-02-22T17:53:04.505+11:00,1,0
BK005,U005,H002,CREATED,225.75,2024-01-02T13:00:00.000+11:00,2024-01-02T13:00:00.000+11:00,2024-01-02T13:00:00.000+11:00,2024-01-02T13:00:00.000+11:00,0,0,1,0.0,0.0,1,1,0,IMMEDIATE,0.95,LOW,STALE_PENDING,0,0,0,0,STANDARD_RESOLUTION,2026-02-22T17:53:04.505+11:00,0,0
